key,day_of_month,avg_units,avg_values,num_observations
Amazon_ACFM5,27,98.0,15165.638162417097,23
Amazon_ACFM5,28,102.47826086956522,15865.84207074429,23
Amazon_ACFM5,29,75.0,11604.741307909602,24
Amazon_ACFM5,30,78.86363636363636,12242.87775770416,22
Amazon_ACFM5,31,90.92857142857143,14007.538320823243,14
Amazon_ACHO5M,1,26.571428571428573,5012.616581129944,21
Amazon_ACHO5M,2,31.4,5923.09728311017,20
Amazon_ACHO5M,3,33.25,6272.147502491525,20
Amazon_ACHO5M,4,29.428571428571427,5553.786040032284,21
Amazon_ACHO5M,5,30.8,5809.117631372882,20
Amazon_ACHO5M,6,27.263157894736842,5140.9494069045495,19
Amazon_ACHO5M,7,28.85,5440.36748311017,20
Amazon_ACHO5M,8,31.80952380952381,5998.495309903148,21
Amazon_ACHO5M,9,31.55,5950.321645881357,20
Amazon_ACHO5M,10,23.454545454545453,4431.258353782743,22
Amazon_ACHO5M,11,25.65,4836.869880254238,20
Amazon_ACHO5M,12,23.40909090909091,4414.100281194145,22
Amazon_ACHO5M,13,22.857142857142858,4311.244300960452,21
Amazon_ACHO5M,14,26.95,5081.996982711865,20
Amazon_ACHO5M,15,18.90909090909091,3567.036290130971,22
Amazon_ACHO5M,16,23.666666666666668,4465.101856335755,21
Amazon_ACHO5M,17,22.7,4280.512143423729,20
Amazon_ACHO5M,18,26.5,4997.115926132512,22
Amazon_ACHO5M,19,26.1,4921.937035000001,20
Amazon_ACHO5M,20,23.238095238095237,4384.495919451171,21
Amazon_ACHO5M,21,23.952380952380953,4519.198263478613,21
Amazon_ACHO5M,22,27.0,5092.610190805086,20
Amazon_ACHO5M,23,21.57894736842105,4070.3672312756476,19
Amazon_ACHO5M,24,21.15,3988.2451448983056,20
Amazon_ACHO5M,25,22.11111111111111,4169.615289548023,18
Amazon_ACHO5M,26,17.4,3282.5304687033904,20
Amazon_ACHO5M,27,27.526315789473685,5190.57024719893,19
Amazon_ACHO5M,28,21.272727272727273,4012.9179091833594,22
Amazon_ACHO5M,29,25.15,4742.482454101695,20
Amazon_ACHO5M,30,23.7,4470.5619312033905,20
Amazon_ACHO5M,31,17.714285714285715,3340.6555065859566,14
Amazon_ACLH4N,1,160.66666666666666,27921.69686666667,9
Amazon_ACLH4N,2,190.77777777777777,33204.86896666666,9
Amazon_ACLH4N,3,171.88888888888889,30006.879811111114,9
Amazon_ACLH4N,4,196.0,34101.246311111114,9
Amazon_ACLH4N,5,178.77777777777777,31070.67384444444,9
Amazon_ACLH4N,6,192.55555555555554,33603.95312222222,9
Amazon_ACLH4N,7,205.11111111111111,35703.27014444445,9
Amazon_ACLH4N,8,213.11111111111111,37081.52136666667,9
Amazon_ACLH4N,9,156.33333333333334,27298.84018888889,9
Amazon_ACLH4N,10,148.0,25905.720266666664,9
Amazon_ACLH4N,11,123.88888888888889,21606.121,9
Amazon_ACLH4N,12,111.66666666666667,19433.3745,9
Amazon_ACLH4N,13,151.66666666666666,26379.516966666666,9
Amazon_ACLH4N,14,131.88888888888889,22996.3042,9
Amazon_ACLH4N,15,107.55555555555556,18739.29268888889,9
Amazon_ACLH4N,16,121.0,21069.175888888887,9
Amazon_ACLH4N,17,107.88888888888889,18859.164873333335,9
Amazon_ACLH4N,18,107.55555555555556,18689.177922222225,9
Amazon_ACLH4N,19,91.0,15848.233155555554,9
